# sealsonline.com/en/flabed — old category URL scheme → live scheme (verified live 2026-09-26)
# Paths are relative to https://www.sealsonline.com/en/flabed/categories/
# old scheme: {inch|metric}/{group}[/{profile}] and hard-parts/{group}; live scheme: {group}/{group}-{inch|metric}[/{profile}]
# note: exact = same profile slug; parent = profile no longer on the live site, send to its sub-category page
old_path,new_path,what,note
inch/symmetrical-seals/type-b-polypak,symmetrical-seals/symmetrical-seals-inch/type-b-poly-pak,profile Type B PolyPak,renamed
inch/symmetrical-seals/spring-loaded-polypak,symmetrical-seals/symmetrical-seals-inch/spring-loaded-polypak,profile Spring Loaded Polypak,exact
inch/symmetrical-seals/modular-backup,symmetrical-seals/symmetrical-seals-inch/modular-backup,profile Modular Backup,exact
inch/symmetrical-seals/za,symmetrical-seals/symmetrical-seals-inch/za,profile ZA,exact
inch/symmetrical-seals/dz,symmetrical-seals/symmetrical-seals-inch/dz,profile DZ,exact
inch/symmetrical-seals/us,symmetrical-seals/symmetrical-seals-inch/us,profile US,exact
inch/symmetrical-seals/us-30-k,symmetrical-seals/symmetrical-seals-inch,profile US 30K,parent
inch/symmetrical-seals/an-6226,symmetrical-seals/symmetrical-seals-inch/an-6226,profile AN6226,exact
inch/symmetrical-seals/8400,symmetrical-seals/symmetrical-seals-inch/8400,profile 8400,exact
inch/symmetrical-seals/hu,symmetrical-seals/symmetrical-seals-inch,profile HU,parent
metric/symmetrical-seals/a,symmetrical-seals/symmetrical-seals-metric/a,profile A,exact
metric/symmetrical-seals/a-n,symmetrical-seals/symmetrical-seals-metric/a-n,profile A/N,exact
metric/symmetrical-seals/b,symmetrical-seals/symmetrical-seals-metric/b,profile B,exact
inch/piston-seals/up,piston-seals/piston-seals-inch/up,profile UP,exact
inch/piston-seals/up-30-k,piston-seals/piston-seals-inch,profile UP 30K,parent
inch/piston-seals/e-4,piston-seals/piston-seals-inch/e-4,profile E4,exact
inch/piston-seals/cb,piston-seals/piston-seals-inch/cb,profile CB,exact
inch/piston-seals/cf,piston-seals/piston-seals-inch/cf,profile CF,exact
inch/piston-seals/ch,piston-seals/piston-seals-inch/ch,profile CH,exact
inch/piston-seals/tp,piston-seals/piston-seals-inch/tp,profile TP,exact
inch/piston-seals/psp,piston-seals/piston-seals-inch/psp,profile PSP,exact
inch/piston-seals/psp-a-at,piston-seals/piston-seals-inch/psp-a-at,profile PSP-A-AT,exact
inch/piston-seals/bp,piston-seals/piston-seals-inch/bp,profile BP,exact
inch/piston-seals/pip-seal,piston-seals/piston-seals-inch/pip-seal,profile PIP Seal,exact
inch/piston-seals/pip-ring,piston-seals/piston-seals-inch/pip-ring,profile PIP Ring,exact
inch/piston-seals/tfes,piston-seals/piston-seals-inch/tfes,profile TFES,exact
inch/piston-seals/160-g,piston-seals/piston-seals-inch/160-g,profile 160G,exact
inch/piston-seals/169-b,piston-seals/piston-seals-inch/169-b,profile 169B,exact
inch/piston-seals/169-g,piston-seals/piston-seals-inch/169-g,profile 169G,exact
inch/piston-seals/169-u,piston-seals/piston-seals-inch/169-u,profile 169U,exact
inch/piston-seals/cat-type-1,piston-seals/piston-seals-inch/cat-type-1,profile CAT Type 1,exact
inch/piston-seals/aq,piston-seals/piston-seals-inch/aq,profile AQ,exact
inch/piston-seals/ps-2470,piston-seals/piston-seals-inch/ps-2470,profile PS2470,exact
inch/piston-seals/c-914,piston-seals/piston-seals-inch/c-914,profile C914,exact
inch/piston-seals/cat-type-3,piston-seals/piston-seals-inch/cat-type-3,profile CAT Type 3,exact
inch/piston-seals/hdp-330,piston-seals/piston-seals-inch/hdp-330,profile HDP 330,exact
inch/piston-seals/cts,piston-seals/piston-seals-inch/cts,profile CTS,exact
inch/piston-seals/p-1000,piston-seals/piston-seals-inch/p-1000,profile P1000,exact
inch/piston-seals/p-1000-hyco,piston-seals/piston-seals-inch/p-1000-hyco,profile P1000 HYCO,exact
inch/piston-seals/p-3-c,piston-seals/piston-seals-inch/p-3-c,profile P3C,exact
inch/piston-seals/p-3-d,piston-seals/piston-seals-inch/p-3-d,profile P3D,exact
inch/piston-seals/p-5-b,piston-seals/piston-seals-inch/p-5-b,profile P5B,exact
metric/piston-seals/pb-1,piston-seals/piston-seals-metric,profile PB-1,parent
metric/piston-seals/pb,piston-seals/piston-seals-metric/pb,profile PB,exact
